title,author,description,image_url,category,subscribers
Joe Rogan Experience Review podcast,Joe Rogan Experience Review podcast,,https://is1-ssl.mzstatic.com/image/thumb/Podcasts122/v4/ed/1d/bd/ed1dbd32-343e-54a1-ae7f-7e08842cb07b/mza_13062616068522634290.jpg/600x600bb.jpg,Society & Culture,0
Crime Junkie,audiochuck,,https://is1-ssl.mzstatic.com/image/thumb/Podcasts126/v4/8c/35/04/8c350430-2fbf-98d0-0a25-00b76550ffeb/mza_13445204151221888086.jpg/600x600bb.jpg,True Crime,0
Stuff You Should Know,iHeartPodcasts,,https://is1-ssl.mzstatic.com/image/thumb/Podcasts126/v4/17/a1/ce/17a1ce39-f248-8750-351a-0201206df213/mza_6600839420822557618.jpg/600x600bb.jpg,Society & Culture,0
Call Her Daddy,Alex Cooper,,https://is1-ssl.mzstatic.com/image/thumb/Podcasts221/v4/77/f4/01/77f401a9-b238-737e-bd06-465b26e24fc3/mza_11362461085172718207.jpg/600x600bb.jpg,Comedy,0
The Daily,The New York Times,,https://is1-ssl.mzstatic.com/image/thumb/Podcasts221/v4/85/1a/e0/851ae0f4-4d48-93f2-1d5f-9f66edd7fcac/mza_7536997295015252616.jpg/600x600bb.jpg,Daily News,0
SmartLess,"Jason Bateman, Sean Hayes, Will Arnett",,https://is1-ssl.mzstatic.com/image/thumb/Podcasts211/v4/4f/e6/a4/4fe6a437-d995-4cb3-8ae1-6a1964c784e6/mza_3757738654304222645.jpg/600x600bb.jpg,Comedy,0
Dateline NBC,NBC News,,https://is1-ssl.mzstatic.com/image/thumb/Podcasts115/v4/8c/00/7a/8c007a42-e550-0214-d4cb-b59cd7edf194/mza_5305664083935674472.jpeg/600x600bb.jpg,True Crime,0
The Joe Rogan Experience,Joe Rogan,,https://is1-ssl.mzstatic.com/image/thumb/Podcasts221/v4/35/03/b7/3503b7e4-88aa-37f3-81df-a0095f594fb6/mza_6506741776716204839.jpg/600x600bb.jpg,Comedy,0
Betrayal: Weekly,iHeartPodcasts and Glass Podcasts,,https://is1-ssl.mzstatic.com/image/thumb/Podcasts221/v4/57/c2/2d/57c22dcb-e4c0-bb41-2b58-3f02ba8fb9cb/mza_11689257890552609448.jpg/600x600bb.jpg,True Crime,0
The MeatEater Podcast,MeatEater,,https://is1-ssl.mzstatic.com/image/thumb/Podcasts126/v4/dd/42/ab/dd42ab8a-076a-45e8-3313-d2848e4e86c4/mza_822451970353743060.jpg/600x600bb.jpg,Wilderness,0
This American Life,This American Life,,https://is1-ssl.mzstatic.com/image/thumb/Podcasts211/v4/31/17/7d/31177d4f-228e-db21-8cfd-f46b62ec8a2d/mza_2826276265389342.png/600x600bb.jpg,Society & Culture,0
Global News Podcast,BBC World Service,,https://is1-ssl.mzstatic.com/image/thumb/Podcasts115/v4/23/9d/ce/239dcef7-d24d-bb0b-1ed1-7b7a87d635ce/mza_7839052379663357293.jpg/600x600bb.jpg,Daily News,0
My Favorite Murder with Karen Kilgariff and Georgia Hardstark,Exactly Right Media – the original true crime comedy network,,https://is1-ssl.mzstatic.com/image/thumb/Podcasts122/v4/84/29/ce/8429cecb-2e88-64bc-6d4d-4e1d5b3cee02/mza_13621725041891062389.jpeg/600x600bb.jpg,True Crime,0
Something You Should Know,Mike Carruthers | OmniCast Media,,https://is1-ssl.mzstatic.com/image/thumb/Podcasts112/v4/e6/e3/53/e6e353d5-f413-8cc7-c604-a7dec201da3e/mza_16562108117631446967.jpeg/600x600bb.jpg,Social Sciences,0
On Purpose with Jay Shetty,iHeartPodcasts,,https://is1-ssl.mzstatic.com/image/thumb/Podcasts126/v4/f3/5e/2c/f35e2cb4-76ec-52f3-448e-546cabaaff3f/mza_15502965911695514461.jpg/600x600bb.jpg,Mental Health,0
Criminal,Vox Media Podcast Network,,https://is1-ssl.mzstatic.com/image/thumb/Podcasts221/v4/bd/98/22/bd9822cc-b8e0-59de-5809-45926a0ee5f3/mza_2331604259390110897.jpeg/600x600bb.jpg,Documentary,0
Fresh Air,NPR,,https://is1-ssl.mzstatic.com/image/thumb/Podcasts116/v4/6a/59/05/6a5905f4-34c3-48ca-f993-3003e7af832e/mza_5140543993315419761.jpg/600x600bb.jpg,Books,0
